class_of_erotismo,class_of_tensione,class_of_impegno,class_of_ritmo,class_of_humor,class_of_time,class_of_year,class_of_voto,genere,paese,cluster
null,good_rating,good_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,italia,7
low_rating,nice_rating,null,nice_rating,null,durataMedia,nuovo,good_rating,fantasy,usa,2
null,nice_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,fantasy,usa,2
good_rating,top_rating,good_rating,nice_rating,low_rating,durataMedia,nuovo,good_rating,thriller,usa,6
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,thriller,usa,5
low_rating,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,italia,4
null,good_rating,null,nice_rating,good_rating,DurataLunga,vecchio,nice_rating,commedia,usa,1
low_rating,nice_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,usa,2
null,low_rating,null,good_rating,null,durataMedia,nuovo,low_rating,musicale,italia,5
low_rating,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,avventura,francia,4
null,low_rating,nice_rating,good_rating,low_rating,durataMedia,nuovo,low_rating,drammatico,messico,8
good_rating,nice_rating,top_rating,nice_rating,low_rating,DurataLunga,nuovo,nice_rating,biografico,nuova_zelanda,6
good_rating,nice_rating,low_rating,nice_rating,low_rating,durataMedia,piu vecchio,nice_rating,drammatico,germania,4
