filmtv_id,titolo_originale,anno,genere,durata,paese,registi,attori,voto_medio,humor,ritmo,impegno,tensione,erotismo
52048,arretezmoi,2013,thriller,99,francia,jeanpaul_lilienfeld,sophie_marceau,6.6,0,1,1,1,0
52052,ningen_no_joken,1959,drammatico,208,giappone,masaki_kobayashi,tatsuya_nakadai,8.6,1,2,4,2,1
52054,intersections,2013,azione,101,francia,david_marconi,roschdy_zem,4.7,0,3,1,1,0
52061,amiche_da_morire,2013,commedia,103,italia,giorgia_farina,claudia_gerini,5.7,3,1,0,0,1
52063,transit,2012,azione,88,usa,antonio_negret,jim_caviezel,4.5,0,2,1,2,0
52075,au_bonheur_des_ogres,2013,commedia,92,francia,nicolas_bary,raphael_personnaz,5.6,1,2,0,1,1
52080,battlefield_america,2012,drammatico,106,usa,chris_stokes,lynn_whitfield,3.0,0,3,0,1,0
52099,train,2008,horror,94,usa,gideon_raff,thora_birch,4.3,0,3,0,2,2
52105,quella_dannata_pattuglia,1969,guerra,87,italia,roberto_bianchi_montero,dale_cummings,3.7,0,2,0,1,0
52108,alceste_a_byciclette,2012,commedia,104,francia,philippe_le_guay,fabrice_luchini,6.0,1,1,2,0,0
52116,the_campaign,2012,commedia,85,usa,jay_roach,will_ferrell,5.2,3,3,1,1,1
52117,a_fantastic_fear_of_everything,2012,commedia,100,gran_bretagna,crispian_mills,simon_pegg,5.3,2,1,2,1,0
52125,inga_lindstrom__sommermond,2009,drammatico,90,germania,hansjurgen_togel,nina_bott,4.0,1,1,0,0,1
52145,katy_perry_part_of_me,2012,documentario,94,usa,dan_cutforth,katy_perry,6.0,2,3,0,1,0
52167,the_last_stand,2013,azione,107,usa,kim_jiwoon,arnold_schwarzenegger,6.2,2,4,1,2,1
52198,wont_back_down,2012,drammatico,121,usa,daniel_barnz,maggie_gyllenhaal,5.9,2,3,3,1,0
52206,at_any_price,2012,drammatico,100,gran_bretagna,ramin_bahrani,zac_efron,5.8,0,2,3,2,1
52215,age_of_the_dragons,2011,fantasy,91,usa,ryan_little,danny_glover,3.8,0,2,0,2,0
52221,fair_play,2006,thriller,103,francia,lionel_bailliu,eric_savin,5.3,0,2,0,2,0
52226,emperor,2012,drammatico,98,giappone,peter_webber,tommy_lee_jones,6.0,1,3,1,1,0
52228,inga_lindstrom_mia_und_ihre_schwestern,2009,drammatico,89,germania,hansjurgen_togel,gaby_dohm,3.1,0,0,0,1,1
52235,trouble_with_the_curve,2012,drammatico,111,usa,robert_lorenz,clint_eastwood,6.2,2,2,2,0,0
52236,taken_,2012,azione,98,francia,olivier_megaton,liam_neeson,4.7,1,2,0,0,0
52272,yella,2007,drammatico,89,germania,christian_petzold,nina_hoss,7.1,0,2,2,3,1
52294,pacific_rim,2013,azione,131,usa,guillermo_del_toro,charlie_hunnam,6.3,1,4,2,3,0
